Subject	Block	Trial	SpeakerPhoto	Logo	Condition	TargetButton	Button_Response	Accuracy	RTs
26	1	1	Speaker1.jpg	OUT1.jpg	matching	2	2	1	859
26	1	2	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1201
26	1	3	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1152
26	1	4	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	751
26	1	5	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	958
26	1	6	Speaker5.jpg	IN00.jpg	matching	2	2	1	696
26	1	7	Speaker2.jpg	IN00.jpg	matching	2	2	1	629
26	1	8	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	601
26	1	9	Speaker1.jpg	OUT1.jpg	matching	2	3	0	915
26	1	10	Speaker5.jpg	IN00.jpg	matching	2	2	1	643
26	1	11	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	717
26	1	12	Speaker2.jpg	IN00.jpg	matching	2	2	1	750
26	1	13	Speaker3.jpg	OUT1.jpg	matching	2	2	1	780
26	1	14	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	747
26	1	15	Speaker5.jpg	IN00.jpg	matching	2	2	1	531
26	1	16	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	886
26	1	17	Speaker3.jpg	IN00.jpg	mismatching	3	2	0	855
26	1	18	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1127
26	1	19	Speaker5.jpg	IN00.jpg	matching	2	2	1	675
26	1	20	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	807
26	1	21	Speaker3.jpg	OUT1.jpg	matching	2	2	1	910
26	1	22	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1153
26	1	23	Speaker2.jpg	IN00.jpg	matching	2	2	1	743
26	1	24	Speaker3.jpg	OUT1.jpg	matching	2	2	1	762
26	1	25	Speaker2.jpg	IN00.jpg	matching	2	2	1	654
26	1	26	Speaker1.jpg	OUT1.jpg	matching	2	3	0	885
26	1	27	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	999
26	1	28	Speaker3.jpg	OUT1.jpg	matching	2	2	1	817
26	1	29	Speaker3.jpg	OUT1.jpg	matching	2	2	1	626
26	1	30	Speaker1.jpg	IN00.jpg	mismatching	3	2	0	705
26	1	31	Speaker3.jpg	IN00.jpg	mismatching	3	2	0	1418
26	1	32	Speaker5.jpg	IN00.jpg	matching	2	2	1	636
26	1	33	Speaker1.jpg	OUT1.jpg	matching	2	3	0	864
26	1	34	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	765
26	1	35	Speaker2.jpg	IN00.jpg	matching	2	2	1	596
26	1	36	Speaker5.jpg	IN00.jpg	matching	2	2	1	669
26	1	37	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	987
26	1	38	Speaker1.jpg	OUT1.jpg	matching	2	2	1	892
26	1	39	Speaker1.jpg	OUT1.jpg	matching	2	2	1	764
26	1	40	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	982
26	1	41	Speaker3.jpg	OUT1.jpg	matching	2	2	1	857
26	1	42	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	948
26	1	43	Speaker1.jpg	OUT1.jpg	matching	2	2	1	726
26	1	44	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	853
26	1	45	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1029
26	1	46	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1143
26	1	47	Speaker3.jpg	OUT1.jpg	matching	2	2	1	926
26	1	48	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1162
26	1	49	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	768
26	1	50	Speaker2.jpg	IN00.jpg	matching	2	2	1	913
26	1	51	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	991
26	1	52	Speaker2.jpg	IN00.jpg	matching	2	2	1	731
26	1	53	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1030
26	1	54	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	902
26	1	55	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	772
26	1	56	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1087
26	1	57	Speaker2.jpg	OUT1.jpg	mismatching	3	2	0	644
26	1	58	Speaker5.jpg	IN00.jpg	matching	2	2	1	706
26	1	59	Speaker2.jpg	IN00.jpg	matching	2	2	1	1035
26	1	60	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	996
26	1	61	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	833
26	1	62	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	703
26	1	63	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1261
26	1	64	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	762
26	1	65	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1171
26	1	66	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	809
26	1	67	Speaker1.jpg	OUT1.jpg	matching	2	2	1	786
26	1	68	Speaker2.jpg	IN00.jpg	matching	2	2	1	668
26	1	69	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1315
26	1	70	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	763
26	1	71	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	668
26	1	72	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	747
26	1	73	Speaker1.jpg	OUT1.jpg	matching	2	2	1	800
26	1	74	Speaker5.jpg	IN00.jpg	matching	2	2	1	776
26	1	75	Speaker5.jpg	IN00.jpg	matching	2	2	1	583
26	1	76	Speaker2.jpg	IN00.jpg	matching	2	2	1	673
26	1	77	Speaker3.jpg	OUT1.jpg	matching	2	3	0	768
26	1	78	Speaker5.jpg	IN00.jpg	matching	2	2	1	722
26	1	79	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1145
26	1	80	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	800
26	2	1	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1346
26	2	2	Speaker5.jpg	IN00.jpg	matching	2	2	1	617
26	2	3	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	842
26	2	4	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	739
26	2	5	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	837
26	2	6	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1048
26	2	7	Speaker2.jpg	IN00.jpg	matching	2	2	1	648
26	2	8	Speaker2.jpg	IN00.jpg	matching	2	2	1	633
26	2	9	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1047
26	2	10	Speaker2.jpg	IN00.jpg	matching	2	2	1	581
26	2	11	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	907
26	2	12	Speaker5.jpg	IN00.jpg	matching	2	2	1	625
26	2	13	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	779
26	2	14	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1075
26	2	15	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	996
26	2	16	Speaker1.jpg	OUT1.jpg	matching	2	2	1	730
26	2	17	Speaker1.jpg	OUT1.jpg	matching	2	2	1	949
26	2	18	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1408
26	2	19	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1125
26	2	20	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	924
26	2	21	Speaker5.jpg	IN00.jpg	matching	2	2	1	678
26	2	22	Speaker2.jpg	IN00.jpg	matching	2	2	1	745
26	2	23	Speaker2.jpg	OUT1.jpg	mismatching	3	2	0	735
26	2	24	Speaker3.jpg	OUT1.jpg	matching	2	2	1	924
26	2	25	Speaker3.jpg	OUT1.jpg	matching	2	2	1	878
26	2	26	Speaker5.jpg	IN00.jpg	matching	2	2	1	619
26	2	27	Speaker2.jpg	IN00.jpg	matching	2	2	1	656
26	2	28	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	724
26	2	29	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	737
26	2	30	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	873
26	2	31	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1015
26	2	32	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	740
26	2	33	Speaker1.jpg	OUT1.jpg	matching	2	2	1	890
26	2	34	Speaker1.jpg	OUT1.jpg	matching	2	2	1	811
26	2	35	Speaker1.jpg	OUT1.jpg	matching	2	2	1	710
26	2	36	Speaker5.jpg	IN00.jpg	matching	2	2	1	793
26	2	37	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1112
