RT,Group_Membership,Trial_type,SubjectID,itemID
733.5555141,ingroup,invalid,1,1
735.607922,ingroup,invalid,1,2
710.9717072,ingroup,invalid,1,3
656.1269938,ingroup,invalid,1,4
627.1016575,ingroup,invalid,1,5
690.9101194,ingroup,invalid,1,6
609.2167666,ingroup,invalid,1,1
609.1273415,ingroup,invalid,1,2
709.0802732,ingroup,invalid,1,3
600.4856517,ingroup,invalid,1,4
747.7418277,ingroup,invalid,1,5
602.2958496,ingroup,invalid,1,6
684.2111931,ingroup,invalid,1,1
862.3233709,ingroup,invalid,1,2
805.2216376,ingroup,invalid,1,3
727.2402704,ingroup,invalid,1,4
661.1544202,ingroup,invalid,1,5
737.4019539,ingroup,invalid,1,6
687.32345,ingroup,invalid,1,1
726.9972177,ingroup,invalid,1,2
654.3363781,ingroup,invalid,1,3
710.2822877,ingroup,invalid,1,4
630.0269842,ingroup,invalid,1,5
726.5817032,ingroup,invalid,1,6
770.8158049,ingroup,invalid,1,1
725.4876657,ingroup,invalid,1,2
639.9550905,ingroup,invalid,1,3
645.3401086,ingroup,invalid,1,4
608.9426271,ingroup,invalid,1,5
630.7860214,ingroup,invalid,1,6
610.1164661,ingroup,invalid,1,1
776.9234615,ingroup,invalid,1,2
670.0747896,ingroup,invalid,1,3
624.0320329,ingroup,invalid,1,4
672.2059089,ingroup,invalid,1,5
659.2112231,ingroup,invalid,1,6
603.3574523,ingroup,invalid,1,1
656.910443,ingroup,invalid,1,2
815.6455728,ingroup,invalid,1,3
837.8605516,ingroup,invalid,1,4
653.1476848,ingroup,valid,1,5
686.2913493,ingroup,valid,1,6
618.7110131,ingroup,valid,1,1
665.296691,ingroup,valid,1,2
740.2671045,ingroup,valid,1,3
739.1587467,ingroup,valid,1,4
714.327152,ingroup,valid,1,5
697.5691919,ingroup,valid,1,6
773.7239582,ingroup,valid,1,1
610.6549892,ingroup,valid,1,2
764.9176578,ingroup,valid,1,3
576.9877519,ingroup,valid,1,4
694.6186608,ingroup,valid,1,5
607.7095364,ingroup,valid,1,6
763.7013402,ingroup,valid,1,1
648.5396679,ingroup,valid,1,2
613.5012444,ingroup,valid,1,3
726.2487419,ingroup,valid,1,4
843.8169492,ingroup,valid,1,5
693.8102162,ingroup,valid,1,6
677.3350242,ingroup,valid,1,1
650.602319,ingroup,valid,1,2
738.8115817,ingroup,valid,1,3
695.2490956,ingroup,valid,1,4
704.0679156,ingroup,valid,1,5
770.786682,ingroup,valid,1,6
805.2756291,ingroup,valid,1,1
685.8575362,ingroup,valid,1,2
813.9975786,ingroup,valid,1,3
749.3400304,ingroup,valid,1,4
827.5992209,ingroup,valid,1,5
654.1849033,ingroup,valid,1,6
617.3636742,ingroup,valid,2,1
681.2273631,ingroup,valid,2,2
666.4817557,ingroup,valid,2,3
758.7232451,ingroup,valid,2,4
573.5693644,ingroup,valid,2,5
634.8404063,ingroup,valid,2,6
540.9907209,ingroup,valid,2,1
543.3466308,ingroup,valid,2,2
725.8411282,ingroup,neutral,2,3
742.0898586,ingroup,neutral,2,4
686.6712258,ingroup,neutral,2,5
623.2309996,ingroup,neutral,2,6
908.6995647,ingroup,neutral,2,1
746.8602645,ingroup,neutral,2,2
707.3375728,ingroup,neutral,2,3
680.9733887,ingroup,neutral,2,4
604.1426581,ingroup,neutral,2,5
608.9677385,ingroup,neutral,2,6
707.6253477,ingroup,neutral,2,1
628.868329,ingroup,neutral,2,2
583.2996168,ingroup,neutral,2,3
590.8695651,ingroup,neutral,2,4
722.6630697,ingroup,neutral,2,5
670.7369211,ingroup,neutral,2,6
536.9849515,ingroup,neutral,2,1
644.6496674,ingroup,neutral,2,2
680.7639347,ingroup,neutral,2,3
705.6278573,ingroup,neutral,2,4
698.5794686,ingroup,neutral,2,5
568.5981226,ingroup,neutral,2,6
603.9704671,ingroup,neutral,2,1
618.5897186,ingroup,neutral,2,2
734.9428133,ingroup,neutral,2,3
674.7467406,ingroup,neutral,2,4
716.6490905,ingroup,neutral,2,5
666.2776934,ingroup,neutral,2,6
545.1703381,ingroup,neutral,2,1
704.0002362,ingroup,neutral,2,2
737.0222778,ingroup,neutral,2,3
754.1899708,ingroup,neutral,2,4
679.8077341,ingroup,neutral,2,5
559.2283327,ingroup,neutral,2,6
917.4740399,ingroup,neutral,2,1
750.996778,ingroup,neutral,2,2
610.1445175,ingroup,neutral,2,3
711.6029192,ingroup,neutral,2,4
635.0803312,ingroup,neutral,2,5
497.1302333,ingroup,neutral,2,6
706.1982014,outgroup,invalid,2,1
719.5430237,outgroup,invalid,2,2
716.7429583,outgroup,invalid,2,3
859.5829493,outgroup,invalid,2,4
619.7662029,outgroup,invalid,2,5
625.9891148,outgroup,invalid,2,6
718.1635184,outgroup,invalid,2,1
673.4481687,outgroup,invalid,2,2
698.0065437,outgroup,invalid,2,3
642.7089371,outgroup,invalid,2,4
694.5841083,outgroup,invalid,2,5
690.3560426,outgroup,invalid,2,6
589.2012743,outgroup,invalid,2,1
771.0787135,outgroup,invalid,2,2
672.7815935,outgroup,invalid,2,3
782.5598221,outgroup,invalid,2,4
727.1734625,outgroup,invalid,2,5
681.2697865,outgroup,invalid,2,6
618.2253032,outgroup,invalid,2,1
635.0655524,outgroup,invalid,2,2
644.6741922,outgroup,invalid,2,3
690.4211463,outgroup,invalid,2,4
786.8919543,outgroup,invalid,2,5
682.1938989,outgroup,invalid,2,6
628.5242392,outgroup,invalid,3,1
616.2760109,outgroup,invalid,3,2
645.1983354,outgroup,invalid,3,3
810.6613571,outgroup,invalid,3,4
867.206572,outgroup,invalid,3,5
630.9359653,outgroup,invalid,3,6
708.2260435,outgroup,invalid,3,1
741.5559545,outgroup,invalid,3,2
622.1177827,outgroup,invalid,3,3
624.8120851,outgroup,invalid,3,4
577.1616044,outgroup,invalid,3,5
646.3447505,outgroup,invalid,3,6
686.1786776,outgroup,invalid,3,1
801.3497747,outgroup,invalid,3,2
719.1438872,outgroup,invalid,3,3
766.4842702,outgroup,invalid,3,4
837.5538853,outgroup,valid,3,5
800.4790049,outgroup,valid,3,6
704.0700034,outgroup,valid,3,1
690.2132175,outgroup,valid,3,2
748.4548499,outgroup,valid,3,3
674.8859959,outgroup,valid,3,4
687.8271526,outgroup,valid,3,5
619.3963072,outgroup,valid,3,6
801.5747838,outgroup,valid,3,1
705.9420358,outgroup,valid,3,2
715.8466725,outgroup,valid,3,3
817.0869736,outgroup,valid,3,4
595.6816155,outgroup,valid,3,5
645.2035612,outgroup,valid,3,6
545.9431475,outgroup,valid,3,1
587.6545877,outgroup,valid,3,2
590.9903071,outgroup,valid,3,3
777.4357652,outgroup,valid,3,4
762.9759425,outgroup,valid,3,5
